close,high,low,open,otc,timestamp,transactions,volume,vwap
310.65,311.97,303.4,306.97,,2023-04-30,1754702,120748259.0,306.8739
308.97,313.0,306.09,310.13,,2023-05-07,1714755,124080811.0,309.0471
318.34,319.04,307.59,309.095,,2023-05-14,1643133,121151448.0,314.3967
332.89,333.4,312.61,318.6,,2023-05-21,2185600,158134100.0,322.4853
335.4,337.5,324.72,335.23,,2023-05-28,1820867,128081143.0,331.6376
326.79,338.5599,322.5,335.22,,2023-06-04,2069773,128199113.0,328.969
342.33,351.47,325.16,328.58,,2023-06-11,2278434,158485953.0,339.9429
335.02,342.08,332.07,339.31,,2023-06-18,1534813,98154771.0,336.4885
340.54,342.73,328.49,333.72,,2023-06-25,1705887,109945013.0,335.3027
337.22,342.99,334.7276,339.19,,2023-07-02,1389826,80083978.0,339.2228
345.24,351.43,327.0,334.6,,2023-07-09,2250480,138349157.0,337.3945
343.77,366.78,339.83,345.678,,2023-07-16,2957214,228067910.0,351.4086
338.37,351.89,329.05,345.85,,2023-07-23,3193095,194716928.0,340.1418
327.78,338.54,325.95,336.92,,2023-07-30,2069087,113688818.0,331.7169
321.01,331.11,319.21,328.37,,2023-08-06,1699698,106095860.0,324.3049
316.48,325.09,311.5508,321.39,,2023-08-13,1642994,102336095.0,319.8548
322.98,332.98,317.04,317.93,,2023-08-20,1598249,106133960.0,323.1991
328.66,331.99,321.722,325.66,,2023-08-27,1368617,90604760.0,327.2887
334.27,336.16,328.66,329.0,,2023-09-03,1182521,74007392.0,332.5191
330.22,340.86,329.65,337.24,,2023-09-10,1503161,108457158.0,334.8882
317.01,330.4,315.0,327.8,,2023-09-17,1803643,111745169.0,323.2243
315.75,319.47,309.45,316.59,,2023-09-24,1744903,106682081.0,313.9796
327.26,329.19,311.215,316.28,,2023-10-01,1716080,104954501.0,319.2829
327.73,333.83,323.18,324.75,,2023-10-08,1636650,100808423.0,329.8318
326.67,336.88,325.45,331.05,,2023-10-15,1677451,113607034.0,331.4645
329.81,346.2,324.39,325.47,,2023-10-22,2527805,177783962.0,334.5126
352.8,354.39,331.83,333.41,,2023-10-29,1854392,119077928.0,343.9239
369.67,370.1,353.35,353.45,,2023-11-05,1788513,129279155.0,361.9176
369.85,376.35,365.9,368.22,,2023-11-12,2116076,141509949.0,370.7518
377.43,379.7899,371.0,371.22,,2023-11-19,1838712,114151642.0,375.6194
374.51,384.3,371.31,376.78,,2023-11-26,1998280,135078661.0,378.0104
374.23,374.46,362.9,369.1,,2023-12-03,1826560,119515723.0,369.9189
370.73,377.6361,364.13,368.48,,2023-12-10,2226805,204921206.0,370.3903
374.58,376.03,368.68,369.45,,2023-12-17,1611876,103423849.0,372.7314
376.04,377.16,372.8116,375.0,,2023-12-24,1105616,60636313.0,375.012
367.75,375.9,366.5,373.86,,2023-12-31,1495223,90178175.0,370.0209
388.47,390.68,369.01,369.3,,2024-01-07,1955946,118950247.0,380.433
398.67,398.67,384.81,393.66,,2024-01-14,1619646,101563900.0,392.4051
403.93,407.01,393.59,400.02,,2024-01-21,1905042,110717163.0,400.9781
411.22,415.32,397.21,406.06,,2024-01-28,2739732,164622139.0,406.3854
420.55,420.82,402.91,409.9,,2024-02-04,1844617,109311037.0,411.1634
404.06,420.74,403.39,420.555,,2024-02-11,2114857,113544267.0,408.3118
410.34,415.86,397.22,403.24,,2024-02-18,1601125,86099415.0,406.0008
415.5,415.87,403.85,411.455,,2024-02-25,1754512,93934615.0,410.18
406.22,417.35,398.39,413.44,,2024-03-03,2114150,103501407.0,406.691
416.42,427.82,401.26,403.762,,2024-03-10,2186169,134928968.0,416.4783
428.74,430.82,413.78,414.25,,2024-03-17,1751233,96656552.0,423.8888
420.72,427.41,419.01,425.24,,2024-03-24,1351758,73362236.0,421.9707
425.52,428.67,417.57,423.95,,2024-03-31,1792626,86650183.0,422.4728
421.9,429.37,419.7,425.17,,2024-04-07,1710636,79710580.0,424.09
399.12,426.82,397.77,426.6,,2024-04-14,2010405,101770860.0,409.5898
406.32,413.0,388.03,400.08,,2024-04-21,2382797,121288590.0,403.4208
406.66,407.15,389.17,405.25,,2024-04-28,2087617,107082034.0,398.1132
414.74,415.38,406.3701,408.76,,2024-05-05,1537142,76850183.0,411.5651
420.21,425.42,410.82,418.01,,2024-05-12,1752483,85056354.0,418.9218
430.16,433.6,419.99,420.21,,2024-05-19,1709161,84805664.0,428.5047
415.13,430.94,404.51,429.63,,2024-05-26,1869076,107569676.0,418.5375
423.85,426.28,408.9234,415.525,,2024-06-02,1707999,77250021.0,419.1257
442.57,443.4,423.89,424.7,,2024-06-09,1895034,80098038.0,436.4186
449.78,450.94,440.72,442.585,,2024-06-16,1648660,92105184.0,447.0745
446.95,456.17,446.41,449.8,,2024-06-23,1759507,92136172.0,450.5706
467.56,468.35,445.66,448.66,,2024-06-30,1475242,57496217.0,459.0269
453.55,467.7,450.645,466.55,,2024-07-07,2256804,87744177.0,459.664
437.11,457.26,432.0,453.3,,2024-07-14,2410218,94696486.0,443.3967
425.27,448.39,417.27,441.79,,2024-07-21,2328207,109210839.0,430.4707
408.49,432.15,404.34,431.58,,2024-07-28,3068864,150260180.0,416.5613
406.02,410.08,385.58,389.17,,2024-08-04,2588337,125231115.0,400.3216
418.47,421.34,404.2434,407.06,,2024-08-11,1667086,97901411.0,415.4091
416.79,426.7899,412.09,418.96,,2024-08-18,1688804,85471371.0,420.0949
417.14,422.05,407.31,416.365,,2024-08-25,1616457,82868766.0,414.2135
401.7,419.88,400.8,417.91,,2024-09-01,1520183,69211951.0,407.897
430.59,431.83,402.15,407.24,,2024-09-08,1767013,87449658.0,418.2655
435.27,441.85,428.22,430.6,,2024-09-15,1846747,128475695.0,435.3449
428.02,436.46,426.1,434.28,,2024-09-22,1471139,74920184.0,430.8626
416.06,430.42,414.29,428.21,,2024-09-29,1794683,85388492.0,420.4576
416.32,420.38,408.17,416.0,,2024-10-06,1713377,83111239.0,414.5634
418.16,424.04,410.48,417.77,,2024-10-13,1665248,82015340.0,417.7574
428.15,432.52,413.7501,416.12,,2024-10-20,1783499,89788386.0,425.3468
410.37,438.5,406.3,431.655,,2024-10-27,2894064,139353074.0,419.5604
422.54,426.85,405.5713,409.8,,2024-11-03,1975700,100769253.0,417.2128
415.0,429.325,413.64,422.515,,2024-11-10,1809167,123781235.0,421.5375
417.0,419.78,410.2887,414.87,,2024-11-17,1463956,107511985.0,414.9902
423.46,429.0414,414.85,418.38,,2024-11-24,1131900,85754344.0,422.2537
443.57,446.1,421.31,421.57,,2024-12-01,1560002,105002766.0,436.8063
447.27,456.1648,440.5,442.6,,2024-12-08,1492721,97789967.0,447.6839
436.6,455.29,428.63,447.27,,2024-12-15,1722326,157827198.0,442.3567
430.53,440.94,426.35,436.74,,2024-12-22,898793,52628052.0,434.1684
423.35,427.55,414.85,426.06,,2024-12-29,1151482,59964624.0,422.2998
